"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"< 3y";" -1.58455674";"   0.3413887";"Inf";"   -2.343058";"-8.260554e-01";"V3 14-60D";"no-vax";"174";" 72597";"1793358";"10";"18255";" 508418";"6287.692";"6306.733";"167779";"0.6404126274";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"< 3y";" -1.72251259";"   0.1988187";"Inf";"   -2.164250";"-1.280775e+00";"V3 60+";"no-vax";"174";" 72597";"1793358";"31";"14493";" 828359";"6287.692";"6306.733";"167779";"0.6404126274";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"3-5yr";" -2.18083833";"   0.5953579";"Inf";"   -3.503611";"-8.580652e-01";"V3 14-60D";"no-vax";" 99";" 43934";"1042955";" 3";"10621";" 282941";"6287.692";"6306.733";"167779";"0.6404126274";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"3-5yr";" -1.79838421";"   0.2721242";"Inf";"   -2.402993";"-1.193775e+00";"V3 60+";"no-vax";" 99";" 43934";"1042955";"16";" 7879";" 462250";"6287.692";"6306.733";"167779";"0.6404126274";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"< 4y";" -1.63848424";"   0.3141275";"Inf";"   -2.336416";"-9.405521e-01";"V3 14-60D";"no-vax";"222";" 94544";"2314364";"12";"23528";" 650362";"6287.278";"6306.319";"167779";"0.5037386088";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"< 4y";" -1.70650185";"   0.1761032";"Inf";"   -2.097770";"-1.315234e+00";"V3 60+";"no-vax";"222";" 94544";"2314364";"40";"18469";"1060032";"6287.278";"6306.319";"167779";"0.5037386088";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"4-5yr";" -2.60701106";"   1.0152110";"Inf";"   -4.862619";"-3.514034e-01";"V3 14-60D";"no-vax";" 51";" 21987";" 521949";" 1";" 5348";" 140997";"6287.278";"6306.319";"167779";"0.5037386088";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"4-5yr";" -1.96131088";"   0.4048639";"Inf";"   -2.860842";"-1.061779e+00";"V3 60+";"no-vax";" 51";" 21987";" 521949";" 7";" 3903";" 230577";"6287.278";"6306.319";"167779";"0.5037386088";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"0";" -1.82650385";"   0.4302311";"Inf";"   -2.782396";"-8.706115e-01";"V3 14-60D";"no-vax";"133";"103050";"2469278";" 6";"25493";" 696935";"6039.754";"6058.795";"167779";"0.3822311523";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"0";" -1.50488862";"   0.2058145";"Inf";"   -1.962170";"-1.047608e+00";"V3 60+";"no-vax";"133";"103050";"2469278";"30";"19760";"1143137";"6039.754";"6058.795";"167779";"0.3822311523";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"1";" -1.56179297";"   0.4010111";"Inf";"   -2.452764";"-6.708219e-01";"V3 14-60D";"no-vax";"140";" 13481";" 367035";" 7";" 3383";"  94424";"6039.754";"6058.795";"167779";"0.3822311523";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"1";" -1.91330047";"   0.2597775";"Inf";"   -2.490477";"-1.336124e+00";"V3 60+";"no-vax";"140";" 13481";" 367035";"17";" 2612";" 147472";"6039.754";"6058.795";"167779";"0.3822311523";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"Delta VOC";" -1.75695663";"   0.3024252";"Inf";"   -2.428888";"-1.085025e+00";"V3 14-60D";"no-vax";"143";"108534";"2203918";"13";"28876";" 791359";"6277.756";"6289.181";"167779";"0.0083621727";"covid_voc"
"(V3 60+) - (no-vax)";"Delta VOC";" -2.62058966";"   0.4266825";"Inf";"   -3.568598";"-1.672581e+00";"V3 60+";"no-vax";"143";"108534";"2203918";" 6";"11885";" 398297";"6277.756";"6289.181";"167779";"0.0083621727";"covid_voc"
"(V3 14-60D) - (no-vax)";"Omicron VOC";NA;NA;NA;NA;NA;"V3 14-60D";"no-vax";"130";"  7997";" 632395";NA;NA;NA;"6277.756";"6289.181";"167779";"0.0083621727";"covid_voc"
