"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"0";"  0.000000000";"   0.0000000";"Inf";" 0.000000e+00";"   0.00000000";"V3 14-60D";"no-vax";"  2";" 12814";" 121980";"  7";" 5482";" 150307";" 3181.893";" 3191.318";"105469";"3.772043e-01";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"0";"  0.000000000";"   0.0000000";"Inf";" 0.000000e+00";"   0.00000000";"V3 60+";"no-vax";"  2";" 12814";" 121980";"  8";" 4376";" 254119";" 3181.893";" 3191.318";"105469";"3.772043e-01";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"1";" -0.001954195";"   0.8702469";"Inf";"-1.935479e+00";"   1.93157047";"V3 14-60D";"no-vax";" 11";" 41453";" 450855";" 43";"23387";" 640461";" 3181.893";" 3191.318";"105469";"3.772043e-01";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"1";"  0.718880847";"   0.8525368";"Inf";"-1.175295e+00";"   2.61305712";"V3 60+";"no-vax";" 11";" 41453";" 450855";"100";"17957";"1034012";" 3181.893";" 3191.318";"105469";"3.772043e-01";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"0";" -0.173610392";"   0.3806257";"Inf";"-1.019289e+00";"   0.67206833";"V3 14-60D";"no-vax";" 19";" 27105";" 369790";" 19";"10692";" 265808";" 4274.854";" 4291.868";"149467";"7.120291e-02";"vac_diff_vac"
"(V3 60+) - (no-vax)";"0";" -0.627718046";"   0.3862501";"Inf";"-1.485893e+00";"   0.23045687";"V3 60+";"no-vax";" 19";" 27105";" 369790";" 48";" 5855";" 350492";" 4274.854";" 4291.868";"149467";"7.120291e-02";"vac_diff_vac"
"(V3 14-60D) - (no-vax)";"1";" -0.411606590";"   0.2892682";"Inf";"-1.054306e+00";"   0.23109289";"V3 14-60D";"no-vax";" 45";" 71160";" 970738";" 31";"18177";" 524960";" 4274.854";" 4291.868";"149467";"7.120291e-02";"vac_diff_vac"
"(V3 60+) - (no-vax)";"1";" -1.363690496";"   0.3785300";"Inf";"-2.204713e+00";"  -0.52266810";"V3 60+";"no-vax";" 45";" 71160";" 970738";" 60";"16478";" 937639";" 4274.854";" 4291.868";"149467";"7.120291e-02";"vac_diff_vac"
"(V3 14-60D) - (no-vax)";"0";" -0.328809730";"   0.2203258";"Inf";"-8.183321e-01";"   0.16071261";"V3 14-60D";"no-vax";" 51";" 74528";"1057307";" 43";"23387";" 640461";"13424.831";"13447.449";"167675";"3.131930e-16";"vac_heterologous"
"(V3 60+) - (no-vax)";"0";"  0.537183240";"   0.1992500";"Inf";" 9.448729e-02";"   0.97987919";"V3 60+";"no-vax";" 51";" 74528";"1057307";"100";"17957";"1034084";"13424.831";"13447.449";"167675";"3.131930e-16";"vac_heterologous"
"(V3 14-60D) - (no-vax)";"1";" -2.144584717";"   0.3842077";"Inf";"-2.998222e+00";"  -1.29094756";"V3 14-60D";"no-vax";"472";" 41945";"1768365";"  7";" 5482";" 150307";"13424.831";"13447.449";"167675";"3.131930e-16";"vac_heterologous"
"(V3 60+) - (no-vax)";"1";" -1.972965737";"   0.3602575";"Inf";"-2.773390e+00";"  -1.17254149";"V3 60+";"no-vax";"472";" 41945";"1768365";"  8";" 4376";" 254047";"13424.831";"13447.449";"167675";"3.131930e-16";"vac_heterologous"
"(V3 14-60D) - (no-vax)";"0";" -1.659025810";"   0.1670075";"Inf";"-2.030085e+00";"  -1.28796655";"V3 14-60D";"no-vax";"493";" 97000";"2343934";" 43";"23965";" 651372";"13472.798";"13495.416";"167675";"1.008729e-01";"cancer_dx_breast"
"(V3 60+) - (no-vax)";"0";" -1.043195730";"   0.1222834";"Inf";"-1.314886e+00";"  -0.77150508";"V3 60+";"no-vax";"493";" 97000";"2343934";" 98";"18191";"1055209";"13472.798";"13495.416";"167675";"1.008729e-01";"cancer_dx_breast"
