"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V2 7D+) - (no-vax)";"< 3y";" -1.1437476";"5.805519e-02";"Inf";"-1.272735e+00";"  -1.01475989";"V2 7D+";"no-vax";"1891";"129510";"4721991.0";"379";" 36102";"2627943";"68995.69";"69026.01";"355610";"1.360336e-02";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"3-5yr";" -1.4190360";"1.805699e-01";"Inf";"-1.820228e+00";"  -1.01784372";"V1 14D+";"no-vax";" 605";" 69654";"2462019.0";" 33";" 33419";" 493487";"68995.69";"69026.01";"355610";"1.360336e-02";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"3-5yr";" -1.3857897";"1.116929e-01";"Inf";"-1.633950e+00";"  -1.13762920";"V2 7D+";"no-vax";" 605";" 69654";"2462019.0";" 94";" 18152";"1354748";"68995.69";"69026.01";"355610";"1.360336e-02";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"< 4y";" -1.0021694";"7.940414e-02";"Inf";"-1.178590e+00";"  -0.82574831";"V1 14D+";"no-vax";"2189";"164907";"5981784.0";"192";" 85799";"1258578";"69109.90";"69140.21";"355610";"3.561501e-03";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"< 4y";" -1.1512477";"5.446038e-02";"Inf";"-1.272248e+00";"  -1.03024694";"V2 7D+";"no-vax";"2189";"164907";"5981784.0";"433";" 45381";"3320661";"69109.90";"69140.21";"355610";"3.561501e-03";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"4-5yr";" -1.6836727";"2.842903e-01";"Inf";"-2.315312e+00";"  -1.05203323";"V1 14D+";"no-vax";" 307";" 34257";"1202226.0";" 13";" 16393";" 242566";"69109.90";"69140.21";"355610";"3.561501e-03";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"4-5yr";" -1.5601094";"1.686511e-01";"Inf";"-1.934820e+00";"  -1.18539830";"V2 7D+";"no-vax";" 307";" 34257";"1202226.0";" 40";"  8873";" 662030";"69109.90";"69140.21";"355610";"3.561501e-03";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"0";" -1.1436003";"1.133792e-01";"Inf";"-1.395507e+00";"  -0.89169318";"V1 14D+";"no-vax";"1164";"169605";"6057193.0";" 88";" 86060";"1283301";"66665.78";"66696.09";"355610";"3.421552e-02";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"0";" -1.2669430";"7.644824e-02";"Inf";"-1.436797e+00";"  -1.09708940";"V2 7D+";"no-vax";"1164";"169605";"6057193.0";"209";" 46067";"3416927";"66665.78";"66696.09";"355610";"3.421552e-02";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"1";" -0.9093011";"1.004099e-01";"Inf";"-1.132393e+00";"  -0.68620932";"V1 14D+";"no-vax";"1332";" 29559";"1126817.0";"117";" 16132";" 217843";"66665.78";"66696.09";"355610";"3.421552e-02";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"1";" -1.0445764";"6.876941e-02";"Inf";"-1.197369e+00";"  -0.89178368";"V2 7D+";"no-vax";"1332";" 29559";"1126817.0";"264";"  8187";" 565764";"66665.78";"66696.09";"355610";"3.421552e-02";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"0";" -1.0698771";"7.954331e-02";"Inf";"-1.246607e+00";"  -0.89314690";"V1 14D+";"no-vax";"2372";"166058";"5961280.0";"190";" 83825";"1222415";"68785.10";"68815.41";"355610";"4.325946e-01";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"0";" -1.1928126";"5.362453e-02";"Inf";"-1.311956e+00";"  -1.07366898";"V2 7D+";"no-vax";"2372";"166058";"5961280.0";"443";" 44475";"3266221";"68785.10";"68815.41";"355610";"4.325946e-01";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"1";" -0.7654577";"2.744921e-01";"Inf";"-1.375328e+00";"  -0.15558790";"V1 14D+";"no-vax";" 124";" 33106";"1222730.0";" 15";" 18367";" 278729";"68785.10";"68815.41";"355610";"4.325946e-01";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"1";" -1.0007278";"2.039640e-01";"Inf";"-1.453897e+00";"  -0.54755832";"V2 7D+";"no-vax";" 124";" 33106";"1222730.0";" 30";"  9779";" 716470";"68785.10";"68815.41";"355610";"4.325946e-01";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"0";" -1.0627967";"7.904633e-02";"Inf";"-1.238423e+00";"  -0.88717067";"V1 14D+";"no-vax";"2350";"174672";"6403811.5";"193";" 91535";"1342791";"69108.67";"69138.98";"355610";"9.865493e-02";"cancer_dx_prostate"
