"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"4-5yr";" 0.1224740958";"0.12149954";"Inf";"-0.147475001";" 0.3924231930";"V1 14D+";"no-vax";" 357";" 34214";"1190527.0";"  88";" 16271";" 239300";"89531.06";"89562.55";"353997";"2.916753e-01";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"4-5yr";" 0.0785236966";"0.09091382";"Inf";"-0.123469695";" 0.2805170882";"V2 7D+";"no-vax";" 357";" 34214";"1190527.0";" 193";"  8745";" 649593";"89531.06";"89562.55";"353997";"2.916753e-01";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"0";"-0.0048853983";"0.05737708";"Inf";"-0.132366455";" 0.1225956582";"V1 14D+";"no-vax";"1993";"169351";"5984041.0";" 453";" 85528";"1267283";"89531.52";"89563.02";"353997";"2.167820e-01";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"0";"-0.0501172606";"0.04268073";"Inf";"-0.144945810";" 0.0447112886";"V2 7D+";"no-vax";"1993";"169351";"5984041.0";" 974";" 45498";"3359567";"89531.52";"89563.02";"353997";"2.167820e-01";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"1";"-0.0555425474";"0.13435397";"Inf";"-0.354051770";" 0.2429666749";"V1 14D+";"no-vax";" 352";" 29529";"1113902.0";"  69";" 16016";" 214988";"89531.52";"89563.02";"353997";"2.167820e-01";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"1";" 0.1080493511";"0.09297049";"Inf";"-0.098513576";" 0.3146122787";"V2 7D+";"no-vax";" 352";" 29529";"1113902.0";" 181";"  8075";" 554272";"89531.52";"89563.02";"353997";"2.167820e-01";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"0";"-0.0085297453";"0.05881504";"Inf";"-0.139205680";" 0.1221461893";"V1 14D+";"no-vax";"1949";"165804";"5887537.0";" 427";" 83294";"1207058";"89528.88";"89560.37";"353997";"1.958636e-01";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"0";" 0.0026269776";"0.04275267";"Inf";"-0.092361398";" 0.0976153537";"V2 7D+";"no-vax";"1949";"165804";"5887537.0";" 976";" 43906";"3207466";"89528.88";"89560.37";"353997";"1.958636e-01";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"1";"-0.0183646679";"0.11675174";"Inf";"-0.277765054";" 0.2410357184";"V1 14D+";"no-vax";" 396";" 33076";"1210406.0";"  95";" 18250";" 275213";"89528.88";"89560.37";"353997";"1.958636e-01";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"1";"-0.1695748158";"0.09166913";"Inf";"-0.373246356";" 0.0340967244";"V2 7D+";"no-vax";" 396";" 33076";"1210406.0";" 179";"  9667";" 706373";"89528.88";"89560.37";"353997";"1.958636e-01";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"0";"-0.0155165715";"0.05631383";"Inf";"-0.140635306";" 0.1096021626";"V1 14D+";"no-vax";"2143";"174422";"6326455.5";" 475";" 90927";"1325283";"89519.41";"89550.91";"353997";"4.201401e-03";"cancer_dx_prostate"
"(V2 7D+) - (no-vax)";"0";"-0.0654625665";"0.04173049";"Inf";"-0.158179858";" 0.0272547249";"V2 7D+";"no-vax";"2143";"174422";"6326455.5";"1013";" 47660";"3477687";"89519.41";"89550.91";"353997";"4.201401e-03";"cancer_dx_prostate"
"(V1 14D+) - (no-vax)";"1";" 0.0478928482";"0.16382874";"Inf";"-0.316103755";" 0.4118894515";"V1 14D+";"no-vax";" 202";" 24458";" 771487.5";"  47";" 10617";" 156988";"89519.41";"89550.91";"353997";"4.201401e-03";"cancer_dx_prostate"
"(V2 7D+) - (no-vax)";"1";" 0.3182632255";"0.11097176";"Inf";" 0.071704874";" 0.5648215774";"V2 7D+";"no-vax";" 202";" 24458";" 771487.5";" 142";"  5913";" 436152";"89519.41";"89550.91";"353997";"4.201401e-03";"cancer_dx_prostate"
"(V1 14D+) - (no-vax)";"0";"-0.0514769072";"0.05777784";"Inf";"-0.179848396";" 0.0768945819";"V1 14D+";"no-vax";"2074";"172854";"6240455.0";" 442";" 88719";"1300646";"89529.42";"89560.92";"353997";"7.155653e-02";"cancer_dx_colorectal"
"(V2 7D+) - (no-vax)";"0";"-0.0242134572";"0.04189285";"Inf";"-0.117291477";" 0.0688645622";"V2 7D+";"no-vax";"2074";"172854";"6240455.0";"1013";" 46627";"3400258";"89529.42";"89560.92";"353997";"7.155653e-02";"cancer_dx_colorectal"
"(V1 14D+) - (no-vax)";"1";" 0.2554234732";"0.12975055";"Inf";"-0.032857807";" 0.5437047532";"V1 14D+";"no-vax";" 271";" 26026";" 857488.0";"  80";" 12825";" 181625";"89529.42";"89560.92";"353997";"7.155653e-02";"cancer_dx_colorectal"
"(V2 7D+) - (no-vax)";"1";"-0.0370964863";"0.10516233";"Inf";"-0.270747382";" 0.1965544096";"V2 7D+";"no-vax";" 271";" 26026";" 857488.0";" 142";"  6946";" 513581";"89529.42";"89560.92";"353997";"7.155653e-02";"cancer_dx_colorectal"
"(V1 14D+) - (no-vax)";"0";"-0.0077717503";"0.05564261";"Inf";"-0.131399150";" 0.1158556492";"V1 14D+";"no-vax";"2180";"187263";"6662464.0";" 490";" 95747";"1401366";"89528.99";"89560.48";"353997";"9.649970e-01";"cancer_dx_lung"
"(V2 7D+) - (no-vax)";"0";"-0.0264419906";"0.04090345";"Inf";"-0.117321744";" 0.0644377630";"V2 7D+";"no-vax";"2180";"187263";"6662464.0";"1084";" 50620";"3711023";"89528.99";"89560.48";"353997";"9.649970e-01";"cancer_dx_lung"
"(V1 14D+) - (no-vax)";"1";"-0.0319941624";"0.19487050";"Inf";"-0.464959706";" 0.4009713808";"V1 14D+";"no-vax";" 165";" 11617";" 435479.0";"  32";"  5797";"  80905";"89528.99";"89560.48";"353997";"9.649970e-01";"cancer_dx_lung"
"(V2 7D+) - (no-vax)";"1";" 0.0036230679";"0.14288258";"Inf";"-0.313835115";" 0.3210812507";"V2 7D+";"no-vax";" 165";" 11617";" 435479.0";"  71";"  2953";" 202816";"89528.99";"89560.48";"353997";"9.649970e-01";"cancer_dx_lung"
"(V1 14D+) - (no-vax)";"0";"-0.0108739914";"0.05484794";"Inf";"-0.132735789";" 0.1109878061";"V1 14D+";"no-vax";"2287";"192906";"6882120.0";" 508";" 98612";"1434333";"89531.36";"89562.85";"353997";"4.487718e-01";"cancer_dx_head_neck"
"(V2 7D+) - (no-vax)";"0";"-0.0339192460";"0.04024227";"Inf";"-0.123329988";" 0.0554914954";"V2 7D+";"no-vax";"2287";"192906";"6882120.0";"1121";" 52021";"3805078";"89531.36";"89562.85";"353997";"4.487718e-01";"cancer_dx_head_neck"
"(V1 14D+) - (no-vax)";"1";" 0.0132601374";"0.29863702";"Inf";"-0.650255089";" 0.6767753639";"V1 14D+";"no-vax";"  58";"  5974";" 215823.0";"  14";"  2932";"  47938";"89531.36";"89562.85";"353997";"4.487718e-01";"cancer_dx_head_neck"
"(V2 7D+) - (no-vax)";"1";" 0.2417881386";"0.21668083";"Inf";"-0.239635868";" 0.7232121449";"V2 7D+";"no-vax";"  58";"  5974";" 215823.0";"  34";"  1552";" 108761";"89531.36";"89562.85";"353997";"4.487718e-01";"cancer_dx_head_neck"
"(V1 14D+) - (no-vax)";"0";"-0.0068128935";"0.05448334";"Inf";"-0.127864621";" 0.1142388341";"V1 14D+";"no-vax";"2319";"194597";"6943414.0";" 517";" 99458";"1447070";"89512.60";"89544.10";"353997";"2.271131e-01";"cancer_dx_endometrium"
"(V2 7D+) - (no-vax)";"0";"-0.0330580492";"0.04001919";"Inf";"-0.121973157";" 0.0558570590";"V2 7D+";"no-vax";"2319";"194597";"6943414.0";"1136";" 52448";"3832844";"89512.60";"89544.10";"353997";"2.271131e-01";"cancer_dx_endometrium"
