"vac_exposure_date";"vac_number";"vac_concept_id";"n"
2021-04-22;"Dose Two";"Moderna-mRNA-1273";646
2021-04-23;"Dose One";"Pfizer-mRNA-BNT162b";602
2021-04-23;"Dose One";"Moderna-mRNA-1273";202
2021-04-23;"Dose One";"AZ-ChAdOx1";389
2021-04-23;"Dose One";"Jansen-Ad26";37
2021-04-23;"Dose Two";"Pfizer-mRNA-BNT162b";297
2021-04-23;"Dose Two";"Moderna-mRNA-1273";427
2021-04-24;"Dose One";"Pfizer-mRNA-BNT162b";7
2021-04-24;"Dose One";"Moderna-mRNA-1273";59
2021-04-24;"Dose One";"AZ-ChAdOx1";10
2021-04-24;"Dose One";"Jansen-Ad26";1
2021-04-24;"Dose Two";"Moderna-mRNA-1273";17
2021-04-25;"Dose One";"Pfizer-mRNA-BNT162b";1
2021-04-25;"Dose One";"Moderna-mRNA-1273";32
2021-04-25;"Dose Two";"Pfizer-mRNA-BNT162b";1
2021-04-26;"Dose One";"Pfizer-mRNA-BNT162b";21
2021-04-26;"Dose One";"Moderna-mRNA-1273";219
2021-04-26;"Dose One";"AZ-ChAdOx1";373
2021-04-26;"Dose One";"Jansen-Ad26";212
2021-04-26;"Dose Two";"Pfizer-mRNA-BNT162b";1
2021-04-26;"Dose Two";"Moderna-mRNA-1273";519
2021-04-27;"Dose One";"Pfizer-mRNA-BNT162b";352
2021-04-27;"Dose One";"Moderna-mRNA-1273";216
2021-04-27;"Dose One";"AZ-ChAdOx1";299
2021-04-27;"Dose One";"Jansen-Ad26";182
2021-04-27;"Dose Two";"Pfizer-mRNA-BNT162b";901
2021-04-27;"Dose Two";"Moderna-mRNA-1273";531
2021-04-27;"Dose Two";"AZ-ChAdOx1";1
2021-04-28;"Dose One";"Pfizer-mRNA-BNT162b";206
2021-04-28;"Dose One";"Moderna-mRNA-1273";278
2021-04-28;"Dose One";"AZ-ChAdOx1";295
2021-04-28;"Dose One";"Jansen-Ad26";76
2021-04-28;"Dose Two";"Pfizer-mRNA-BNT162b";2247
2021-04-28;"Dose Two";"Moderna-mRNA-1273";503
2021-04-29;"Dose One";"Pfizer-mRNA-BNT162b";297
2021-04-29;"Dose One";"Moderna-mRNA-1273";216
2021-04-29;"Dose One";"AZ-ChAdOx1";261
2021-04-29;"Dose One";"Jansen-Ad26";79
2021-04-29;"Dose Two";"Pfizer-mRNA-BNT162b";2259
2021-04-29;"Dose Two";"Moderna-mRNA-1273";249
2021-04-30;"Dose One";"Pfizer-mRNA-BNT162b";1445
2021-04-30;"Dose One";"Moderna-mRNA-1273";186
2021-04-30;"Dose One";"AZ-ChAdOx1";159
2021-04-30;"Dose One";"Jansen-Ad26";17
2021-04-30;"Dose Two";"Pfizer-mRNA-BNT162b";1811
2021-04-30;"Dose Two";"Moderna-mRNA-1273";46
