"outcomes";"outcomes_dates";"n";"n_total";"cum_sum"
"death_date";2022-04-28;9;164467;0.0543148473553965
"death_date";2022-04-29;25;164467;0.0544668535329276
"death_date";2022-04-30;16;164467;0.0545641374865475
"death_date";2022-05-02;7;164467;0.0546066992162561
"death_date";2022-05-03;12;164467;0.0546796621814711
"death_date";2022-05-04;28;164467;0.0548499091003058
"death_date";2022-05-05;2;164467;0.0548620695945083
"death_date";2022-05-06;19;164467;0.0549775942894319
"death_date";2022-05-07;29;164467;0.0551539214553679
"death_date";2022-05-08;4;164467;0.0551782424437729
"death_date";2022-05-09;10;164467;0.0552390449147853
"death_date";2022-05-10;3;164467;0.0552572856560891
"death_date";2022-05-11;38;164467;0.0554883350459363
"death_date";2022-05-12;2;164467;0.0555004955401388
"death_date";2022-05-13;9;164467;0.0555552177640499
"death_date";2022-05-14;35;164467;0.0557680264125934
"death_date";2022-05-16;9;164467;0.0558227486365046
"death_date";2022-05-17;7;164467;0.0558653103662133
"death_date";2022-05-18;36;164467;0.056084199261858
"death_date";2022-05-19;9;164467;0.0561389214857692
"death_date";2022-05-20;14;164467;0.0562240449451866
"death_date";2022-05-21;22;164467;0.0563578103814139
"death_date";2022-05-22;1;164467;0.0563638906285151
"death_date";2022-05-23;12;164467;0.05643685359373
"death_date";2022-05-24;7;164467;0.0564794153234387
"death_date";2022-05-25;49;164467;0.0567773474313996
"death_date";2022-05-26;3;164467;0.0567955881727033
"death_date";2022-05-27;8;164467;0.0568442301495133
"death_date";2022-05-28;34;164467;0.0570509585509555
"death_date";2022-05-29;6;164467;0.057087440033563
"death_date";2022-05-30;4;164467;0.0571117610219679
"death_date";2022-05-31;8;164467;0.0571604029987779
"death_date";2022-06-01;32;164467;0.0573549709060176
"death_date";2022-06-02;3;164467;0.0573732116473213
"death_date";2022-06-03;11;164467;0.057440094365435
"death_date";2022-06-04;2;164467;0.0574522548596375
"death_date";2022-06-06;1;164467;0.0574583351067387
"death_date";2022-06-07;15;164467;0.0575495388132574
"death_date";2022-06-08;33;164467;0.0577501869675984
"death_date";2022-06-09;34;164467;0.0579569153690406
"death_date";2022-06-10;4;164467;0.0579812363574456
"death_date";2022-06-11;25;164467;0.0581332425349766
"death_date";2022-06-13;1;164467;0.0581393227820779
"death_date";2022-06-14;8;164467;0.0581879647588878
"death_date";2022-06-15;4;164467;0.0582122857472928
"death_date";2022-06-16;4;164467;0.0582366067356977
"death_date";2022-06-17;12;164467;0.0583095697009126
"death_date";2022-06-18;60;164467;0.0586743845269872
"death_date";2022-06-20;6;164467;0.0587108660095946
"death_date";2022-06-21;10;164467;0.0587716684806071
"death_date";2022-06-22;46;164467;0.0590513598472642
"death_date";2022-06-23;7;164467;0.0590939215769729
"death_date";2022-06-24;8;164467;0.0591425635537828
"death_date";2022-06-25;14;164467;0.0592276870132002
"death_date";2022-06-27;8;164467;0.0592763289900102
"death_date";2022-06-28;1;164467;0.0592824092371114
"death_date";2022-06-29;22;164467;0.0594161746733387
"death_date";2022-06-30;72;164467;0.0598539524646282
"death_date";NA;101732;164467;0.678409650568199
"end_db_followup";2020-12-27;9;164467;5.47222239111797e-05
"end_db_followup";2020-12-28;16;164467;0.000152006177531055
"end_db_followup";2020-12-29;12;164467;0.000224969142745961
"end_db_followup";2020-12-30;67;164467;0.000632345698529188
"end_db_followup";2020-12-31;5;164467;0.000662746934035399
"end_db_followup";2021-01-01;7;164467;0.000705308663744095
"end_db_followup";2021-01-02;1;164467;0.000711388910845337
"end_db_followup";2021-01-03;1;164467;0.000717469157946579
"end_db_followup";2021-01-04;9;164467;0.000772191381857759
"end_db_followup";2021-01-05;2;164467;0.000784351876060243
"end_db_followup";2021-01-06;138;164467;0.00162342597603167
"end_db_followup";2021-01-07;7;164467;0.00166598770574036
"end_db_followup";2021-01-08;11;164467;0.00173287042385403
"end_db_followup";2021-01-09;63;164467;0.00211592599123228
"end_db_followup";2021-01-11;14;164467;0.00220104945064967
"end_db_followup";2021-01-12;12;164467;0.00227401241586458
"end_db_followup";2021-01-13;59;164467;0.00263274699483787
"end_db_followup";2021-01-14;15;164467;0.0027239507013565
"end_db_followup";2021-01-15;28;164467;0.00289419762019128
"end_db_followup";2021-01-16;11;164467;0.00296108033830495
"end_db_followup";2021-01-18;10;164467;0.00302188280931737
"end_db_followup";2021-01-19;18;164467;0.00313132725713973
"end_db_followup";2021-01-20;54;164467;0.00345966060060681
"end_db_followup";2021-01-21;40;164467;0.0037028704846565
"end_db_followup";2021-01-22;19;164467;0.0038183951795801
"end_db_followup";2021-01-23;37;164467;0.00404336432232606
"end_db_followup";2021-01-24;7;164467;0.00408592605203476
"end_db_followup";2021-01-25;15;164467;0.00417712975855339
"end_db_followup";2021-01-26;111;164467;0.00485203718679127
"end_db_followup";2021-01-27;45;164467;0.00512564830634717
"end_db_followup";2021-01-28;23;164467;0.00526549398967574
"end_db_followup";2021-01-29;54;164467;0.00559382733314282
"end_db_followup";2021-01-30;63;164467;0.00597688290052108
"end_db_followup";2021-01-31;1;164467;0.00598296314762232
"end_db_followup";2021-02-01;65;164467;0.00637817920920306
"end_db_followup";2021-02-02;52;164467;0.00669435205846766
"end_db_followup";2021-02-03;46;164467;0.0069740434251248
"end_db_followup";2021-02-04;17;164467;0.00707740762584591
"end_db_followup";2021-02-05;33;164467;0.00727805578018691
"end_db_followup";2021-02-06;27;164467;0.00744222245192045
"end_db_followup";2021-02-08;11;164467;0.00750910517003411
"end_db_followup";2021-02-09;49;164467;0.00780703727799498
"end_db_followup";2021-02-10;87;164467;0.00833601877580305
"end_db_followup";2021-02-11;21;164467;0.00846370396492913
"end_db_followup";2021-02-12;40;164467;0.00870691384897882
"end_db_followup";2021-02-13;18;164467;0.00881635829680118
"end_db_followup";2021-02-14;1;164467;0.00882243854390242
"end_db_followup";2021-02-15;21;164467;0.00895012373302851
