"vac_exposure_date";"vac_number";"cancer_diagnosis_time";"vac_concept_id";"n"
2021-02-03;"Dose Two";"0";"Pfizer-mRNA-BNT162b";35
2021-02-03;"Dose Two";"1";"Pfizer-mRNA-BNT162b";25
2021-02-03;"Dose Two";"2";"Pfizer-mRNA-BNT162b";15
2021-02-03;"Dose Two";"3";"Pfizer-mRNA-BNT162b";22
2021-02-03;"Dose Two";"4";"Pfizer-mRNA-BNT162b";17
2021-02-04;"Dose One";"0";"Pfizer-mRNA-BNT162b";1
2021-02-04;"Dose One";"0";"Moderna-mRNA-1273";2
2021-02-04;"Dose One";"1";"Moderna-mRNA-1273";2
2021-02-04;"Dose One";"2";"Pfizer-mRNA-BNT162b";2
2021-02-04;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2021-02-04;"Dose Two";"0";"Pfizer-mRNA-BNT162b";31
2021-02-04;"Dose Two";"1";"Pfizer-mRNA-BNT162b";18
2021-02-04;"Dose Two";"2";"Pfizer-mRNA-BNT162b";18
2021-02-04;"Dose Two";"3";"Pfizer-mRNA-BNT162b";11
2021-02-04;"Dose Two";"4";"Pfizer-mRNA-BNT162b";14
2021-02-05;"Dose One";"0";"Pfizer-mRNA-BNT162b";1
2021-02-05;"Dose One";"0";"Moderna-mRNA-1273";4
2021-02-05;"Dose One";"1";"Pfizer-mRNA-BNT162b";1
2021-02-05;"Dose One";"1";"Moderna-mRNA-1273";3
2021-02-05;"Dose One";"2";"Moderna-mRNA-1273";1
2021-02-05;"Dose One";"3";"Pfizer-mRNA-BNT162b";3
2021-02-05;"Dose One";"3";"Moderna-mRNA-1273";1
2021-02-05;"Dose One";"4";"Moderna-mRNA-1273";1
2021-02-05;"Dose Two";"0";"Pfizer-mRNA-BNT162b";53
2021-02-05;"Dose Two";"1";"Pfizer-mRNA-BNT162b";29
2021-02-05;"Dose Two";"2";"Pfizer-mRNA-BNT162b";20
2021-02-05;"Dose Two";"3";"Pfizer-mRNA-BNT162b";22
