"vac_exposure_date";"vac_concept_id";"n"
2021-05-26;"Jansen-Ad26";11
2021-05-27;"Pfizer-mRNA-BNT162b";653
2021-05-27;"Moderna-mRNA-1273";482
2021-05-27;"AZ-ChAdOx1";90
2021-05-27;"Jansen-Ad26";8
2021-05-28;"Pfizer-mRNA-BNT162b";1552
2021-05-28;"Moderna-mRNA-1273";316
2021-05-28;"AZ-ChAdOx1";133
2021-05-28;"Jansen-Ad26";4
2021-05-29;"Pfizer-mRNA-BNT162b";474
2021-05-29;"Moderna-mRNA-1273";93
2021-05-29;"AZ-ChAdOx1";103
2021-05-29;"Jansen-Ad26";2
2021-05-30;"Pfizer-mRNA-BNT162b";291
2021-05-30;"Moderna-mRNA-1273";54
2021-05-30;"AZ-ChAdOx1";86
2021-05-31;"Pfizer-mRNA-BNT162b";489
2021-05-31;"Moderna-mRNA-1273";258
2021-05-31;"AZ-ChAdOx1";140
2021-05-31;"Jansen-Ad26";9
2021-06-01;"Pfizer-mRNA-BNT162b";963
2021-06-01;"Moderna-mRNA-1273";234
2021-06-01;"AZ-ChAdOx1";117
2021-06-01;"Jansen-Ad26";9
2021-06-02;"Pfizer-mRNA-BNT162b";1062
2021-06-02;"Moderna-mRNA-1273";144
2021-06-02;"AZ-ChAdOx1";129
2021-06-02;"Jansen-Ad26";29
2021-06-03;"Pfizer-mRNA-BNT162b";990
2021-06-03;"Moderna-mRNA-1273";270
2021-06-03;"AZ-ChAdOx1";119
2021-06-03;"Jansen-Ad26";28
2021-06-04;"Pfizer-mRNA-BNT162b";1203
2021-06-04;"Moderna-mRNA-1273";224
2021-06-04;"AZ-ChAdOx1";141
2021-06-04;"Jansen-Ad26";23
2021-06-05;"Pfizer-mRNA-BNT162b";494
2021-06-05;"Moderna-mRNA-1273";16
2021-06-05;"AZ-ChAdOx1";96
2021-06-05;"Jansen-Ad26";1
2021-06-06;"Pfizer-mRNA-BNT162b";248
2021-06-06;"Moderna-mRNA-1273";17
2021-06-06;"AZ-ChAdOx1";43
2021-06-07;"Pfizer-mRNA-BNT162b";628
2021-06-07;"Moderna-mRNA-1273";207
2021-06-07;"AZ-ChAdOx1";40
2021-06-07;"Jansen-Ad26";10
2021-06-08;"Pfizer-mRNA-BNT162b";849
2021-06-08;"Moderna-mRNA-1273";173
2021-06-08;"AZ-ChAdOx1";45
2021-06-08;"Jansen-Ad26";37
2021-06-09;"Pfizer-mRNA-BNT162b";868
2021-06-09;"Moderna-mRNA-1273";152
2021-06-09;"AZ-ChAdOx1";40
2021-06-09;"Jansen-Ad26";51
2021-06-10;"Pfizer-mRNA-BNT162b";871
2021-06-10;"Moderna-mRNA-1273";288
2021-06-10;"AZ-ChAdOx1";31
2021-06-10;"Jansen-Ad26";85
2021-06-11;"Pfizer-mRNA-BNT162b";1035
2021-06-11;"Moderna-mRNA-1273";142
2021-06-11;"AZ-ChAdOx1";51
2021-06-11;"Jansen-Ad26";46
2021-06-12;"Pfizer-mRNA-BNT162b";317
2021-06-12;"Moderna-mRNA-1273";172
2021-06-12;"AZ-ChAdOx1";13
2021-06-12;"Jansen-Ad26";15
2021-06-13;"Pfizer-mRNA-BNT162b";140
2021-06-13;"Moderna-mRNA-1273";147
2021-06-13;"AZ-ChAdOx1";2
2021-06-13;"Jansen-Ad26";24
2021-06-14;"Pfizer-mRNA-BNT162b";521
2021-06-14;"Moderna-mRNA-1273";129
2021-06-14;"AZ-ChAdOx1";32
2021-06-14;"Jansen-Ad26";54
