"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"1";" -0.62009368";"  0.47708352";"Inf";"   -1.6800834";" 4.398961e-01";"V1 14D+";"no-vax";" 40";" 24488";" 778688.5";"  5";" 10652";" 158260";"15040.51";"15063.16";"355455";"0.4318348927";"cancer_dx_prostate"
"(V2 7D+) - (no-vax)";"1";" -0.42233796";"  0.28521715";"Inf";"   -1.0560368";" 2.113608e-01";"V2 7D+";"no-vax";" 40";" 24488";" 778688.5";" 18";"  5979";" 443058";"15040.51";"15063.16";"355455";"0.4318348927";"cancer_dx_prostate"
"(V1 14D+) - (no-vax)";"0";" -0.53207301";"  0.15364786";"Inf";"   -0.8734496";"-1.906964e-01";"V1 14D+";"no-vax";"398";"173055";"6303974.0";" 54";" 89247";"1315411";"15034.64";"15057.29";"355455";"0.3306970025";"cancer_dx_colorectal"
"(V2 7D+) - (no-vax)";"0";" -0.72606426";"  0.10537564";"Inf";"   -0.9601891";"-4.919394e-01";"V2 7D+";"no-vax";"398";"173055";"6303974.0";"127";" 47171";"3455090";"15034.64";"15057.29";"355455";"0.3306970025";"cancer_dx_colorectal"
"(V1 14D+) - (no-vax)";"1";" -0.09510943";"  0.28974023";"Inf";"   -0.7388577";" 5.486388e-01";"V1 14D+";"no-vax";" 69";" 26051";" 865481.0";" 15";" 12900";" 183696";"15034.64";"15057.29";"355455";"0.3306970025";"cancer_dx_colorectal"
"(V2 7D+) - (no-vax)";"1";" -0.83334342";"  0.24654059";"Inf";"   -1.3811102";"-2.855767e-01";"V2 7D+";"no-vax";" 69";" 26051";" 865481.0";" 22";"  7031";" 521851";"15034.64";"15057.29";"355455";"0.3306970025";"cancer_dx_colorectal"
"(V1 14D+) - (no-vax)";"0";" -0.40357775";"  0.14275737";"Inf";"   -0.7207577";"-8.639775e-02";"V1 14D+";"no-vax";"416";"187472";"6728441.0";" 65";" 96312";"1417243";"15018.30";"15040.95";"355455";"0.2740193447";"cancer_dx_lung"
"(V2 7D+) - (no-vax)";"0";" -0.76202474";"  0.10381781";"Inf";"   -0.9926884";"-5.313611e-01";"V2 7D+";"no-vax";"416";"187472";"6728441.0";"131";" 51214";"3770284";"15018.30";"15040.95";"355455";"0.2740193447";"cancer_dx_lung"
"(V1 14D+) - (no-vax)";"1";" -0.94145275";"  0.52216759";"Inf";"   -2.1016108";" 2.187053e-01";"V1 14D+";"no-vax";" 51";" 11634";" 441014.0";"  4";"  5835";"  81864";"15018.30";"15040.95";"355455";"0.2740193447";"cancer_dx_lung"
"(V2 7D+) - (no-vax)";"1";" -0.45813589";"  0.27539916";"Inf";"   -1.0700210";" 1.537492e-01";"V2 7D+";"no-vax";" 51";" 11634";" 441014.0";" 18";"  2988";" 206657";"15018.30";"15040.95";"355455";"0.2740193447";"cancer_dx_lung"
"(V1 14D+) - (no-vax)";"0";" -0.42221216";"  0.13898084";"Inf";"   -0.7310014";"-1.134229e-01";"V1 14D+";"no-vax";"455";"193126";"6951943.0";" 69";" 99198";"1450637";"15038.03";"15060.67";"355455";"0.0681246360";"cancer_dx_head_neck"
"(V2 7D+) - (no-vax)";"0";" -0.75657797";"  0.09961836";"Inf";"   -0.9779112";"-5.352447e-01";"V2 7D+";"no-vax";"455";"193126";"6951943.0";"143";" 52635";"3866839";"15038.03";"15060.67";"355455";"0.0681246360";"cancer_dx_head_neck"
