"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"1";" -1.89767326";"   0.4661625";"Inf";"-2.933398e+00";"-8.619481e-01";"V3 14-60D";"no-vax";" 69";" 16658";" 353895";"  5";" 4011";" 100487";"13246.906";"13269.420";"167681";"6.179060e-01";"cancer_dx_prostate"
"(V3 60+) - (no-vax)";"1";" -1.24101286";"   0.3174719";"Inf";"-1.946376e+00";"-5.356502e-01";"V3 60+";"no-vax";" 69";" 16658";" 353895";" 12";" 2575";" 157039";"13246.906";"13269.420";"167681";"6.179060e-01";"cancer_dx_prostate"
"(V3 14-60D) - (no-vax)";"0";" -1.53579679";"   0.1699225";"Inf";"-1.913333e+00";"-1.158261e+00";"V3 14-60D";"no-vax";"428";"100062";"2432237";" 42";"24818";" 681525";"13240.585";"13263.099";"167681";"3.392756e-01";"cancer_dx_colorectal"
"(V3 60+) - (no-vax)";"0";" -1.09842629";"   0.1312278";"Inf";"-1.389990e+00";"-8.068629e-01";"V3 60+";"no-vax";"428";"100062";"2432237";" 82";"19295";"1107374";"13240.585";"13263.099";"167681";"3.392756e-01";"cancer_dx_colorectal"
"(V3 14-60D) - (no-vax)";"1";" -1.86426467";"   0.4254336";"Inf";"-2.809498e+00";"-9.190313e-01";"V3 14-60D";"no-vax";" 86";" 16416";" 394156";"  6";" 4051";" 109229";"13240.585";"13263.099";"167681";"3.392756e-01";"cancer_dx_colorectal"
"(V3 60+) - (no-vax)";"1";" -0.78555317";"   0.2405960";"Inf";"-1.320112e+00";"-2.509942e-01";"V3 60+";"no-vax";" 86";" 16416";" 394156";" 23";" 3039";" 180857";"13240.585";"13263.099";"167681";"3.392756e-01";"cancer_dx_colorectal"
"(V3 14-60D) - (no-vax)";"0";" -1.44760162";"   0.1653580";"Inf";"-1.814996e+00";"-1.080207e+00";"V3 14-60D";"no-vax";"422";"110889";"2692545";" 45";"27497";" 754630";"13123.049";"13145.563";"167681";"1.898164e-02";"cancer_dx_lung"
"(V3 60+) - (no-vax)";"0";" -0.95089287";"   0.1247577";"Inf";"-1.228081e+00";"-6.737048e-01";"V3 60+";"no-vax";"422";"110889";"2692545";" 95";"21365";"1232468";"13123.049";"13145.563";"167681";"1.898164e-02";"cancer_dx_lung"
"(V3 14-60D) - (no-vax)";"1";" -2.59517384";"   0.5888931";"Inf";"-3.903583e+00";"-1.286764e+00";"V3 14-60D";"no-vax";" 92";"  5589";" 133848";"  3";" 1372";"  36124";"13123.049";"13145.563";"167681";"1.898164e-02";"cancer_dx_lung"
"(V3 60+) - (no-vax)";"1";" -1.59488856";"   0.3373064";"Inf";"-2.344320e+00";"-8.454573e-01";"V3 60+";"no-vax";" 92";"  5589";" 133848";" 10";"  969";"  55763";"13123.049";"13145.563";"167681";"1.898164e-02";"cancer_dx_lung"
"(V3 14-60D) - (no-vax)";"0";" -1.65223728";"   0.1656636";"Inf";"-2.020311e+00";"-1.284164e+00";"V3 14-60D";"no-vax";"501";"113029";"2735563";" 44";"28063";" 769850";"13243.461";"13265.975";"167681";"8.347572e-02";"cancer_dx_head_neck"
"(V3 60+) - (no-vax)";"0";" -1.04810642";"   0.1204598";"Inf";"-1.315745e+00";"-7.804674e-01";"V3 60+";"no-vax";"501";"113029";"2735563";"102";"21741";"1254059";"13243.461";"13265.975";"167681";"8.347572e-02";"cancer_dx_head_neck"
