"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 0-14D) - (no-vax)";"< 2y";"-0.4221593654";"0.06232441";"Inf";"-0.56920924";"-0.275109490";"V3 0-14D";"no-vax";"1705";"22867";" 947062";" 363";"22867";" 242013";"138559.79";"138607.42";"166225";" 3.857298e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"< 2y";"-0.6328958593";"0.05649769";"Inf";"-0.76619801";"-0.499593706";"V3 14-60D";"no-vax";"1705";"22867";" 947062";" 442";"12323";" 343657";"138559.79";"138607.42";"166225";" 3.857298e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"< 2y";"-0.1196611826";"0.05746355";"Inf";"-0.25524220";" 0.015919837";"V3 60+";"no-vax";"1705";"22867";" 947062";" 525";" 5255";" 565363";"138559.79";"138607.42";"166225";" 3.857298e-01";"cancer_diagnosis_time_bin_1"
"(V3 0-14D) - (no-vax)";"2-5yr";"-0.5083500160";"0.05716308";"Inf";"-0.64322210";"-0.373477929";"V3 0-14D";"no-vax";"2133";"31400";"1205458";" 438";"31400";" 326086";"138559.79";"138607.42";"166225";" 3.857298e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"2-5yr";"-0.7149740131";"0.05363790";"Inf";"-0.84152870";"-0.588419325";"V3 14-60D";"no-vax";"2133";"31400";"1205458";" 488";"15986";" 420886";"138559.79";"138607.42";"166225";" 3.857298e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"2-5yr";"-0.2103277563";"0.05501892";"Inf";"-0.34014086";"-0.080514649";"V3 60+";"no-vax";"2133";"31400";"1205458";" 575";" 6201";" 691019";"138559.79";"138607.42";"166225";" 3.857298e-01";"cancer_diagnosis_time_bin_1"
"(V3 0-14D) - (no-vax)";"< 3y";"-0.4748392674";"0.05396060";"Inf";"-0.60215534";"-0.347523193";"V3 0-14D";"no-vax";"2469";"33736";"1363237";" 507";"33736";" 354990";"138564.69";"138612.33";"166225";" 9.796541e-01";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"< 3y";"-0.6700825747";"0.04887444";"Inf";"-0.78539822";"-0.554766924";"V3 14-60D";"no-vax";"2469";"33736";"1363237";" 611";"17891";" 490986";"138564.69";"138612.33";"166225";" 9.796541e-01";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"< 3y";"-0.1610154223";"0.05105299";"Inf";"-0.28147121";"-0.040559633";"V3 60+";"no-vax";"2469";"33736";"1363237";" 721";" 7433";" 805752";"138564.69";"138612.33";"166225";" 9.796541e-01";"cancer_diagnosis_time_bin_2"
"(V3 0-14D) - (no-vax)";"3-5yr";"-0.4622446680";"0.06817207";"Inf";"-0.62309167";"-0.301397669";"V3 0-14D";"no-vax";"1369";"20531";" 789283";" 294";"20531";" 213109";"138564.69";"138612.33";"166225";" 9.796541e-01";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"3-5yr";"-0.6898111902";"0.06500568";"Inf";"-0.84318731";"-0.536435066";"V3 14-60D";"no-vax";"1369";"20531";" 789283";" 319";"10418";" 273557";"138564.69";"138612.33";"166225";" 9.796541e-01";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"3-5yr";"-0.1818331198";"0.06469860";"Inf";"-0.33448472";"-0.029181523";"V3 60+";"no-vax";"1369";"20531";" 789283";" 379";" 4023";" 450630";"138564.69";"138612.33";"166225";" 9.796541e-01";"cancer_diagnosis_time_bin_2"
"(V3 0-14D) - (no-vax)";"< 4y";"-0.4699484965";"0.04861183";"Inf";"-0.58464454";"-0.355252452";"V3 0-14D";"no-vax";"3170";"43990";"1757218";" 659";"43990";" 461341";"138563.63";"138611.26";"166225";" 7.754621e-01";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"< 4y";"-0.6675795456";"0.04413102";"Inf";"-0.77170345";"-0.563455642";"V3 14-60D";"no-vax";"3170";"43990";"1757218";" 780";"23059";" 627851";"138563.63";"138611.26";"166225";" 7.754621e-01";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"< 4y";"-0.1797644853";"0.04731191";"Inf";"-0.29139346";"-0.068135511";"V3 60+";"no-vax";"3170";"43990";"1757218";" 902";" 9453";"1031315";"138563.63";"138611.26";"166225";" 7.754621e-01";"cancer_diagnosis_time_bin_3"
"(V3 0-14D) - (no-vax)";"4-5yr";"-0.4716361134";"0.09515419";"Inf";"-0.69614544";"-0.247126785";"V3 0-14D";"no-vax";" 668";"10277";" 395302";" 142";"10277";" 106758";"138563.63";"138611.26";"166225";" 7.754621e-01";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"4-5yr";"-0.7240095482";"0.09232323";"Inf";"-0.94183942";"-0.506179677";"V3 14-60D";"no-vax";" 668";"10277";" 395302";" 150";" 5250";" 136692";"138563.63";"138611.26";"166225";" 7.754621e-01";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"4-5yr";"-0.1131070983";"0.08583266";"Inf";"-0.31562296";" 0.089408761";"V3 60+";"no-vax";" 668";"10277";" 395302";" 198";" 2003";" 225067";"138563.63";"138611.26";"166225";" 7.754621e-01";"cancer_diagnosis_time_bin_3"
"(V3 0-14D) - (no-vax)";"0";"-0.4713864391";"0.04728041";"Inf";"-0.58294110";"-0.359831782";"V3 0-14D";"no-vax";"3320";"47868";"1867733";" 708";"48315";" 504401";"138562.34";"138609.98";"166225";" 1.742537e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"0";"-0.6658115185";"0.04323068";"Inf";"-0.76781113";"-0.563811908";"V3 14-60D";"no-vax";"3320";"47868";"1867733";" 825";"24999";" 673333";"138562.34";"138609.98";"166225";" 1.742537e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"0";"-0.1914405513";"0.04660114";"Inf";"-0.30139251";"-0.081488595";"V3 60+";"no-vax";"3320";"47868";"1867733";" 949";"10113";"1113808";"138562.34";"138609.98";"166225";" 1.742537e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 0-14D) - (no-vax)";"1";"-0.4586954987";"0.11510780";"Inf";"-0.73028390";"-0.187107094";"V3 0-14D";"no-vax";" 518";" 6399";" 284787";"  93";" 5952";"  63698";"138562.34";"138609.98";"166225";" 1.742537e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"1";"-0.7547572012";"0.10854870";"Inf";"-1.01086988";"-0.498644518";"V3 14-60D";"no-vax";" 518";" 6399";" 284787";" 105";" 3310";"  91210";"138562.34";"138609.98";"166225";" 1.742537e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"1";"-0.0006408085";"0.09674471";"Inf";"-0.22890286";" 0.227621241";"V3 60+";"no-vax";" 518";" 6399";" 284787";" 151";" 1343";" 142574";"138562.34";"138609.98";"166225";" 1.742537e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 0-14D) - (no-vax)";"Delta VOC";"-0.4701956812";"0.04512750";"Inf";"-0.57667071";"-0.363720650";"V3 0-14D";"no-vax";"3252";"54267";"1540248";" 801";"54267";" 568099";"138545.81";"138573.03";"166225";" 3.370056e-05";"covid_voc"
"(V3 14-60D) - (no-vax)";"Delta VOC";"-0.6767660870";"0.04107948";"Inf";"-0.77369010";"-0.579842075";"V3 14-60D";"no-vax";"3252";"54267";"1540248";" 930";"28309";" 764543";"138545.81";"138573.03";"166225";" 3.370056e-05";"covid_voc"
"(V3 60+) - (no-vax)";"Delta VOC";"-0.4408864496";"0.07976746";"Inf";"-0.62909191";"-0.252680985";"V3 60+";"no-vax";"3252";"54267";"1540248";" 288";"11456";" 385727";"138545.81";"138573.03";"166225";" 3.370056e-05";"covid_voc"
"(V3 0-14D) - (no-vax)";"Omicron VOC";NA;NA;NA;NA;NA;"V3 0-14D";"no-vax";" 586";" 7676";" 612272";NA;NA;NA;"138545.81";"138573.03";"166225";" 3.370056e-05";"covid_voc"
"(V3 14-60D) - (no-vax)";"Omicron VOC";NA;NA;NA;NA;NA;"V3 14-60D";"no-vax";" 586";" 7676";" 612272";NA;NA;NA;"138545.81";"138573.03";"166225";" 3.370056e-05";"covid_voc"
"(V3 60+) - (no-vax)";"Omicron VOC";"-0.0419954999";"0.05423021";"Inf";"-0.14828475";" 0.064293749";"V3 60+";"no-vax";" 586";" 7676";" 612272";" 812";"10250";" 870655";"138545.81";"138573.03";"166225";" 3.370056e-05";"covid_voc"
"(V3 0-14D) - (no-vax)";"0";"-0.7566739344";"0.08737239";"Inf";"-0.96282267";"-0.550525194";"V3 0-14D";"no-vax";" 942";"12814";" 406919";" 164";"12814";" 121045";"138469.50";"138517.14";"166225";" 8.152063e-08";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"0";"-0.6182850528";"0.07490934";"Inf";"-0.79502814";"-0.441541969";"V3 14-60D";"no-vax";" 942";"12814";" 406919";" 240";" 5366";" 143850";"138469.50";"138517.14";"166225";" 8.152063e-08";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"0";"-0.4632598437";"0.08245288";"Inf";"-0.65780137";"-0.268718320";"V3 60+";"no-vax";" 942";"12814";" 406919";" 205";" 2226";" 247617";"138469.50";"138517.14";"166225";" 8.152063e-08";"vac_mRNA_12"
"(V3 0-14D) - (no-vax)";"1";"-0.3811572439";"0.04962508";"Inf";"-0.49824397";"-0.264070523";"V3 0-14D";"no-vax";"2896";"41453";"1745601";" 637";"41453";" 447054";"138469.50";"138517.14";"166225";" 8.152063e-08";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"1";"-0.7003450483";"0.04623584";"Inf";"-0.80943512";"-0.591254974";"V3 14-60D";"no-vax";"2896";"41453";"1745601";" 690";"22943";" 620693";"138469.50";"138517.14";"166225";" 8.152063e-08";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"1";"-0.0928918203";"0.04766359";"Inf";"-0.20535057";" 0.019566931";"V3 60+";"no-vax";"2896";"41453";"1745601";" 895";" 9230";"1008765";"138469.50";"138517.14";"166225";" 8.152063e-08";"vac_mRNA_12"
