"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 0-14D) - (no-vax)";"0";"-1.768500e+01";"1.008258e+04";"Inf";"-23806.783277";" 2.377141e+04";"V3 0-14D";"no-vax";"  9";" 4982";" 262966";" 0";" 4380";"  46551";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"0";"-1.443761e+00";"1.058331e+00";"Inf";"    -3.940815";" 1.053293e+00";"V3 14-60D";"no-vax";"  9";" 4982";" 262966";" 1";" 2408";"  74397";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"0";"-1.756510e+01";"3.322876e+03";"Inf";" -7857.647528";" 7.822517e+03";"V3 60+";"no-vax";"  9";" 4982";" 262966";" 0";" 1256";" 132951";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"1";"-9.313581e-02";"9.833867e+03";"Inf";"-23202.379840";" 2.320219e+04";"V3 0-14D";"no-vax";"  0";" 5208";" 219075";" 0";" 5137";"  53537";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"1";"-1.086686e-02";"4.075002e+03";"Inf";" -9614.678663";" 9.614657e+03";"V3 14-60D";"no-vax";"  0";" 5208";" 219075";" 0";" 2630";"  74464";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"1";" 1.621680e+01";"2.450045e+03";"Inf";" -5764.485190";" 5.796919e+03";"V3 60+";"no-vax";"  0";" 5208";" 219075";" 1";" 1174";" 128046";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"2";"-1.760733e+01";"9.539058e+03";"Inf";"-22524.314670";" 2.248910e+04";"V3 0-14D";"no-vax";"  7";" 5157";" 223716";" 0";" 5025";"  52652";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"2";"-1.752498e+01";"3.228939e+03";"Inf";" -7635.969105";" 7.600919e+03";"V3 14-60D";"no-vax";"  7";" 5157";" 223716";" 0";" 2667";"  75671";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"2";"-6.282914e-01";"8.105744e-01";"Inf";"    -2.540782";" 1.284199e+00";"V3 60+";"no-vax";"  7";" 5157";" 223716";" 2";" 1183";" 127482";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"3+";"-1.971191e+00";"1.061284e+00";"Inf";"    -4.475214";" 5.328311e-01";"V3 0-14D";"no-vax";" 89";"38920";"1557654";" 1";"39725";" 420162";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"3+";"-1.577339e+00";"3.323469e-01";"Inf";"    -2.361487";"-7.931907e-01";"V3 14-60D";"no-vax";" 89";"38920";"1557654";"11";"21171";" 566827";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"3+";"-1.367288e+00";"3.216950e-01";"Inf";"    -2.126304";"-6.082725e-01";"V3 60+";"no-vax";" 89";"38920";"1557654";"13";" 8272";" 902130";"2600.4812";"2643.9488";"167779";"4.423149e-01";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"< 1y";"-6.994033e-01";"1.073514e+00";"Inf";"    -3.232280";" 1.833474e+00";"V3 0-14D";"no-vax";" 28";"11604";" 531561";" 1";"11604";" 125072";"2616.5013";"2636.7862";"167779";"4.178651e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"< 1y";"-1.720985e+00";"6.139605e-01";"Inf";"    -3.169580";"-2.723903e-01";"V3 14-60D";"no-vax";" 28";"11604";" 531561";" 3";" 6578";" 193325";"2616.5013";"2636.7862";"167779";"4.178651e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"< 1y";"-1.345852e+00";"5.488296e-01";"Inf";"    -2.640775";"-5.092909e-02";"V3 60+";"no-vax";" 28";"11604";" 531561";" 4";" 3012";" 314142";"2616.5013";"2636.7862";"167779";"4.178651e-01";"cancer_diagnosis_time_bin_0"
"(V3 0-14D) - (no-vax)";"1-5yr";"-1.591436e+01";"1.163585e+03";"Inf";" -2761.308077";" 2.729479e+03";"V3 0-14D";"no-vax";" 77";"42663";"1731850";" 0";"42663";" 447830";"2616.5013";"2636.7862";"167779";"4.178651e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"1-5yr";"-1.582731e+00";"3.642561e-01";"Inf";"    -2.442166";"-7.232954e-01";"V3 14-60D";"no-vax";" 77";"42663";"1731850";" 9";"22298";" 598034";"2616.5013";"2636.7862";"167779";"4.178651e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"1-5yr";"-1.260466e+00";"3.334830e-01";"Inf";"    -2.047295";"-4.736375e-01";"V3 60+";"no-vax";" 77";"42663";"1731850";"12";" 8873";" 976467";"2616.5013";"2636.7862";"167779";"4.178651e-01";"cancer_diagnosis_time_bin_0"
"(V3 0-14D) - (no-vax)";"< 2y";"-1.228241e+00";"1.066691e+00";"Inf";"    -3.745020";" 1.288538e+00";"V3 0-14D";"no-vax";" 46";"22867";" 997244";" 1";"22867";" 244172";"2618.1917";"2638.4765";"167779";"6.243995e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"< 2y";"-1.688792e+00";"4.794436e-01";"Inf";"    -2.820004";"-5.575801e-01";"V3 14-60D";"no-vax";" 46";"22867";" 997244";" 5";"12584";" 356146";"2618.1917";"2638.4765";"167779";"6.243995e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"< 2y";"-1.290923e+00";"4.241393e-01";"Inf";"    -2.291648";"-2.901971e-01";"V3 60+";"no-vax";" 46";"22867";" 997244";" 7";" 5460";" 582149";"2618.1917";"2638.4765";"167779";"6.243995e-01";"cancer_diagnosis_time_bin_1"
"(V3 0-14D) - (no-vax)";"2-5yr";"-1.592108e+01";"1.333007e+03";"Inf";" -3161.052519";" 3.129210e+03";"V3 0-14D";"no-vax";" 59";"31400";"1266167";" 0";"31400";" 328730";"2618.1917";"2638.4765";"167779";"6.243995e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"2-5yr";"-1.565553e+00";"4.103798e-01";"Inf";"    -2.533814";"-5.972920e-01";"V3 14-60D";"no-vax";" 59";"31400";"1266167";" 7";"16292";" 435213";"2618.1917";"2638.4765";"167779";"6.243995e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"2-5yr";"-1.273226e+00";"3.780286e-01";"Inf";"    -2.165157";"-3.812953e-01";"V3 60+";"no-vax";" 59";"31400";"1266167";" 9";" 6425";" 708460";"2618.1917";"2638.4765";"167779";"6.243995e-01";"cancer_diagnosis_time_bin_1"
"(V3 0-14D) - (no-vax)";"< 3y";"-1.475511e+00";"1.064438e+00";"Inf";"    -3.986973";" 1.035952e+00";"V3 0-14D";"no-vax";" 58";"33736";"1435298";" 1";"33736";" 358060";"2615.1455";"2635.4304";"167779";"3.159080e-01";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"< 3y";"-1.328588e+00";"3.695016e-01";"Inf";"    -2.200400";"-4.567762e-01";"V3 14-60D";"no-vax";" 58";"33736";"1435298";" 9";"18255";" 508418";"2615.1455";"2635.4304";"167779";"3.159080e-01";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"< 3y";"-1.061375e+00";"3.512904e-01";"Inf";"    -1.890219";"-2.325313e-01";"V3 60+";"no-vax";" 58";"33736";"1435298";"11";" 7712";" 828359";"2615.1455";"2635.4304";"167779";"3.159080e-01";"cancer_diagnosis_time_bin_2"
"(V3 0-14D) - (no-vax)";"3-5yr";"-1.614094e+01";"1.671537e+03";"Inf";" -3960.009751";" 3.927728e+03";"V3 0-14D";"no-vax";" 47";"20531";" 828113";" 0";"20531";" 214842";"2615.1455";"2635.4304";"167779";"3.159080e-01";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"3-5yr";"-2.179625e+00";"6.027193e-01";"Inf";"    -3.601697";"-7.575527e-01";"V3 14-60D";"no-vax";" 47";"20531";" 828113";" 3";"10621";" 282941";"2615.1455";"2635.4304";"167779";"3.159080e-01";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"3-5yr";"-1.635107e+00";"4.858535e-01";"Inf";"    -2.781442";"-4.887712e-01";"V3 60+";"no-vax";" 47";"20531";" 828113";" 5";" 4173";" 462250";"2615.1455";"2635.4304";"167779";"3.159080e-01";"cancer_diagnosis_time_bin_2"
"(V3 0-14D) - (no-vax)";"< 4y";"-1.804794e+00";"1.062131e+00";"Inf";"    -4.310814";" 7.012260e-01";"V3 0-14D";"no-vax";" 80";"43990";"1849080";" 1";"43990";" 465284";"2616.6509";"2636.9358";"167779";"5.141706e-01";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"< 4y";"-1.442257e+00";"3.342028e-01";"Inf";"    -2.230784";"-6.537299e-01";"V3 14-60D";"no-vax";" 80";"43990";"1849080";"11";"23528";" 650362";"2616.6509";"2636.9358";"167779";"5.141706e-01";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"< 4y";"-1.214487e+00";"3.233580e-01";"Inf";"    -1.977426";"-4.515473e-01";"V3 60+";"no-vax";" 80";"43990";"1849080";"13";" 9817";"1060032";"2616.6509";"2636.9358";"167779";"5.141706e-01";"cancer_diagnosis_time_bin_3"
"(V3 0-14D) - (no-vax)";"4-5yr";"-1.517913e+01";"1.413387e+03";"Inf";" -3349.961816";" 3.319604e+03";"V3 0-14D";"no-vax";" 25";"10277";" 414331";" 0";"10277";" 107618";"2616.6509";"2636.9358";"167779";"5.141706e-01";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"4-5yr";"-2.638084e+00";"1.024083e+00";"Inf";"    -5.054333";"-2.218349e-01";"V3 14-60D";"no-vax";" 25";"10277";" 414331";" 1";" 5348";" 140997";"2616.6509";"2636.9358";"167779";"5.141706e-01";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"4-5yr";"-1.521592e+00";"6.229638e-01";"Inf";"    -2.991429";"-5.175453e-02";"V3 60+";"no-vax";" 25";"10277";" 414331";" 3";" 2068";" 230577";"2616.6509";"2636.9358";"167779";"5.141706e-01";"cancer_diagnosis_time_bin_3"
"(V3 0-14D) - (no-vax)";"0";"-1.497640e+00";"1.064308e+00";"Inf";"    -4.008797";" 1.013518e+00";"V3 0-14D";"no-vax";" 55";"47868";"1960612";" 1";"48315";" 508666";"2532.6842";"2552.9691";"167779";"6.934393e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"0";"-1.682051e+00";"4.396843e-01";"Inf";"    -2.719453";"-6.446477e-01";"V3 14-60D";"no-vax";" 55";"47868";"1960612";" 6";"25493";" 696935";"2532.6842";"2552.9691";"167779";"6.934393e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"0";"-1.129880e+00";"3.651111e-01";"Inf";"    -1.991333";"-2.684272e-01";"V3 60+";"no-vax";" 55";"47868";"1960612";"10";"10488";"1143137";"2532.6842";"2552.9691";"167779";"6.934393e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 0-14D) - (no-vax)";"1";"-1.593595e+01";"1.587140e+03";"Inf";" -3760.675552";" 3.728804e+03";"V3 0-14D";"no-vax";" 50";" 6399";" 302799";" 0";" 5952";"  64236";"2532.6842";"2552.9691";"167779";"6.934393e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"1";"-1.426794e+00";"4.415104e-01";"Inf";"    -2.468506";"-3.850827e-01";"V3 14-60D";"no-vax";" 50";" 6399";" 302799";" 6";" 3383";"  94424";"2532.6842";"2552.9691";"167779";"6.934393e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"1";"-1.331515e+00";"4.490890e-01";"Inf";"    -2.391108";"-2.719227e-01";"V3 60+";"no-vax";" 50";" 6399";" 302799";" 6";" 1397";" 147472";"2532.6842";"2552.9691";"167779";"6.934393e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 0-14D) - (no-vax)";"Delta VOC";"-2.084019e+00";"1.060660e+00";"Inf";"    -4.586569";" 4.185310e-01";"V3 0-14D";"no-vax";" 79";"54267";"1631016";" 1";"54267";" 572902";"2612.7503";"2624.3417";"167779";"2.708935e-01";"covid_voc"
"(V3 14-60D) - (no-vax)";"Delta VOC";"-1.618803e+00";"3.181909e-01";"Inf";"    -2.369551";"-8.680548e-01";"V3 14-60D";"no-vax";" 79";"54267";"1631016";"12";"28876";" 791359";"2612.7503";"2624.3417";"167779";"2.708935e-01";"covid_voc"
"(V3 60+) - (no-vax)";"Delta VOC";"-1.839448e+00";"6.324752e-01";"Inf";"    -3.331727";"-3.471695e-01";"V3 60+";"no-vax";" 79";"54267";"1631016";" 3";"11885";" 398297";"2612.7503";"2624.3417";"167779";"2.708935e-01";"covid_voc"
"(V3 0-14D) - (no-vax)";"Omicron VOC";NA;NA;NA;NA;NA;"V3 0-14D";"no-vax";" 26";" 7997";" 632395";NA;NA;NA;"2612.7503";"2624.3417";"167779";"2.708935e-01";"covid_voc"
"(V3 14-60D) - (no-vax)";"Omicron VOC";NA;NA;NA;NA;NA;"V3 14-60D";"no-vax";" 26";" 7997";" 632395";NA;NA;NA;"2612.7503";"2624.3417";"167779";"2.708935e-01";"covid_voc"
