"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"< 3y";" -1.3780398";"1.096941e-01";"Inf";"   -1.6217594";"  -1.13432022";"V3 60+";"no-vax";"661";" 72597";"1793358";"108";"14493";" 828359";"22274.998";"22300.135";"167779";"2.431824e-01";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"3-5yr";" -1.7032736";"2.545283e-01";"Inf";"   -2.2687875";"  -1.13775963";"V3 14-60D";"no-vax";"261";" 43934";"1042955";" 17";"10621";" 282941";"22274.998";"22300.135";"167779";"2.431824e-01";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"3-5yr";" -1.1704187";"1.571458e-01";"Inf";"   -1.5195672";"  -0.82127032";"V3 60+";"no-vax";"261";" 43934";"1042955";" 51";" 7879";" 462250";"22274.998";"22300.135";"167779";"2.431824e-01";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"< 4y";" -2.0087713";"1.702794e-01";"Inf";"   -2.3871001";"  -1.63044249";"V3 14-60D";"no-vax";"787";" 94544";"2314364";" 39";"23528";" 650362";"22295.026";"22320.162";"167779";"6.915291e-01";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"< 4y";" -1.3454154";"1.005233e-01";"Inf";"   -1.5687593";"  -1.12207160";"V3 60+";"no-vax";"787";" 94544";"2314364";"132";"18469";"1060032";"22295.026";"22320.162";"167779";"6.915291e-01";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"4-5yr";" -1.9274831";"3.903763e-01";"Inf";"   -2.7948256";"  -1.06014059";"V3 14-60D";"no-vax";"135";" 21987";" 521949";"  7";" 5348";" 140997";"22295.026";"22320.162";"167779";"6.915291e-01";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"4-5yr";" -1.1460975";"2.137829e-01";"Inf";"   -1.6210828";"  -0.67111225";"V3 60+";"no-vax";"135";" 21987";" 521949";" 27";" 3903";" 230577";"22295.026";"22320.162";"167779";"6.915291e-01";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"0";" -1.8883557";"1.995772e-01";"Inf";"   -2.3317786";"  -1.44493284";"V3 14-60D";"no-vax";"501";"103050";"2469278";" 28";"25493";" 696935";"21619.429";"21644.566";"167779";"8.794569e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"0";" -1.2605432";"1.190101e-01";"Inf";"   -1.5249612";"  -0.99612522";"V3 60+";"no-vax";"501";"103050";"2469278";" 92";"19760";"1143137";"21619.429";"21644.566";"167779";"8.794569e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"1";" -2.0266272";"2.449090e-01";"Inf";"   -2.5707688";"  -1.48248563";"V3 14-60D";"no-vax";"421";" 13481";" 367035";" 18";" 3383";"  94424";"21619.429";"21644.566";"167779";"8.794569e-01";"CCI_Metastatic_Solid_Tumor"
